ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1906.1.1,1906,Sundial,Unknown,Bronze and Marble,City Park,West of the Pavillion,,3153791.95289,1697131.66808,{DA2164AE-7AD9-4625-A83E-C3093A70E6E9}
1991.2.1,1991,A Good Catch,Peter Kola,Oil painting,Denver Police Department,,,3142752.64228,1694005.86873,{B46F44CC-9096-43BE-B834-0757A07E209D}
1991.3.1,1991,Eagles Choice,Peter Kola,Oil painting,Denver Police Department,,,3142756.54214,1694034.4626,{7941A077-DE43-4624-BEE1-0F58EF9B7C13}
1991.4.1,1991,Deer Family Grazing,Peter Kola,Oil painting,Denver Police Department,,,3142743.54517,1694050.05824,{2DB0996B-3317-40DA-A5A9-DEB98E622D5C}
1991.6.1,1991,Wayward Winds,Peter Kola,Oil painting,Denver Police Department,,,3142744.84512,1694022.76558,{7D926334-0E99-4FA4-8914-8B553B225DB9}
1993.15.1,1993,Arctic Sojourn,Kenneth Bunn,Bronze,Denver Zoo,,,3154836.70145,1698717.16635,{93ED7337-E05E-4019-B8FD-E9C0C46D7807}
1993.5.1,1993,Neighborhood Epic,Martha Keating and Bob Luna,Tile Mosiac,20th St. Viaduct,,,3139251.51325,1702827.85111,{A46182CD-7C32-4C00-9DFD-90A3548C2617}
1993.13.1,1993,A Life in Harmony with all Creation,"Ken and Judith Williams, and Maria",Ceramic Mosiac,15th Street Underpass,,,3139323.7685,1699494.96659,{14BCEB82-3DEB-4E23-85B1-1F33353A9D5B}
1996.6.1,1996,River Glyph ,Andrew Dufford,Sandblasted Concrete/Lithochrome Dye,City of Cuernavaca Park,"Along Park Paths, I-25 and 20th St.",,3139658.93406,1702377.38305,{9E187BDC-D23B-4EE0-9E1A-C64A7DB396E9}
1993.14.1,1993,Frog,Susan Raymond,Bronze,Denver Zoo,,,3154714.07436,1698668.11471,{27FA42D3-4517-45FD-AF25-11DA70FB93FB}
2006.27.1,2006,Two Hundred And Twenty Two Point Five Degrees Arc,Bernar Venet,Steel,Commons Park,Little Raven St. and 15th St.,,3139330.18376,1700696.39966,{1EA20B4B-1364-4324-BE07-E05442ED713F}
1997.8.1,1997,Visions Born by This River,Robert Tully,Stone,Gates Crescent Park ,W 23rd Ave. and Water St.,,3135992.08481,1698108.3543,{306488F2-7DB4-4AF9-BF2C-7F3B61FBF3B0}
2003.1.1,2003,East 2 West Source Point,Larry Kirkland,"Carrara Marble, Cast Bronze and Gold Leaf",Wellington E Webb Municipal Building,,,3143328.95565,1694929.31099,{3EAB2D4D-F238-4D9E-9CF1-33BAC888B315}
2003.15.1,2003,Building Blocks,Robert Murase,Stone and Marble,Wellington E Webb Municipal Building,,,3143661.85377,1695133.58865,{E1054F39-D6E3-418D-9D13-82F5D7AE378D}
2003.16.1,2003,Tools,Donald Lipski,Mixed Media,Wellington E Webb Municipal Building,,,3143540.79932,1695204.51746,{F84F01C1-D158-4125-9A81-386EE3E8A5A9}
2003.7.1,2003,Workers,Darrell Anderson,Ceramic Mosaic,Wellington E Webb Municipal Building,,,3143235.32892,1695015.3718,{E1882AFF-33C8-44E9-9584-0640914D4FD4}
2003.12.1,2003,Whole Life,Bonny Lhotka,Holograph,Wellington E Webb Municipal Building,,,3143250.46084,1695020.1002,{3EA896D0-C380-418D-BF6F-4C8767CE96C6}
2003.6.1,2003,Ascent,Bill Starke,Cast Metal,Wellington E Webb Municipal Building,,,3143289.23492,1695033.34132,{CE692D44-2E84-479E-A628-680359C4D5E4}
2003.5.1,2003,Canyon Walls,Judith Trager,Fiber,Wellington E Webb Municipal Building,,,3143302.47605,1695035.23212,{4EC59410-0547-4364-8E5B-2F17A7180A91}
2003.10.1,2003,Civic Centerized,Steven Altman,Acrylic Painting,Wellington E Webb Municipal Building,,,3143317.60797,1695043.74353,{C8863340-22DA-422B-9652-1663E2B24390}
2003.13.1,2003,Antiquities and Revisisted,Sue Quinlan,Wood Carving,Wellington E Webb Municipal Building,,,3143338.41378,1695049.41872,{9B0659E3-ED61-4BF9-A968-2C0B93A5EDEC}
2003.8.1,2003,Inter Spirit of the Created Colorado Vision,Nathaniel Bustion,Stone and Marble,Wellington E Webb Municipal Building,,,3143351.65365,1695056.03793,{5068D3D5-DBA4-4BF4-B6F8-C7F533F77AA2}
2003.4.1,2003,Grand Poobah and Office Fairy,Daniel Salazar,Photograph,Wellington E Webb Municipal Building,,,3143370.56858,1695066.44153,{821BCE32-882B-4FFF-BA32-05D500910727}
2004.5.1,2004,Model State; A Local Cosmology,John McEnroe,Fiberglass and Polyester Resin,Convention Center Expansion,,,3142023.04688,1695963.71706,{44099090-A3B3-40F5-9194-BC13100B25BB}
2003.26.1,2003,The Spirit of Togetherness,Yvonne Munide,Acrylic Painting,African American Research Library,,,3145835.34821,1699202.46977,{0A1423AD-279B-4490-924C-9BF56892A95F}
2004.8.1,2004,African American Spirit of the West,Thomas Jay Warren,Bronze,African American Research Library,,,3145846.03615,1699205.24112,{532860DE-67E2-4952-81A0-E773B997BB33}
2003.24.1,2003,Firehouse,Dennis Oppenheim,Aluminum Mixed Media,Fire Station 9,,,3149602.70295,1708960.0435,{FBB4AA0B-842E-4378-B5B7-AA7C2A43F952}
2003.28.1,2003,Bluecityjungle,Michael Gadlin,Acrylic Painting,Police Department District 2 Northeast,,,3162266.26896,1706280.61129,{7A3555ED-4D2D-4640-8762-9C873D728E38}
2004.7.1,2004,Silver Sky,Dayton Claudio,Epoxy Composit and acrylic,Montclair Recreation Center,,,3170324.09624,1690402.91115,{7CA178B1-186D-4996-BBF3-476591332813}
2004.9.1,2004,Swimming under the Trees and Autumn Leaves,Shan Shan Sheng,Cold cast glass,Rude Park Recreation Center,,,3134072.47051,1693448.45327,{3AD352BA-63BE-49D5-9E2A-9D8558196C52}
2004.6.1,2004,Aqua Portal,Don Lawler and Meg White,Marble,Ashland Recreation Center,,,3135535.92832,1701947.06129,{17E44A64-8564-48C1-847C-A8B411E47924}
2005.5.1,2005,Camino,Michael Clapper,Limestone and stainless steel,Park Avenue Warehouse,,,3141808.58254,1703926.59813,{CC0CC005-53B2-46F7-902C-5175FBA6DED5}
1920.2.1,1920,The Prospector,Allen True,Oil Painting on Canvas,Civic Center Park,Greek Theatre,,3143737.14998,1694155.41186,{26F5B1A2-BAE5-44C3-919B-E6322875E116}
2008.9.1,2008,Camarasaurus and Ceratosaurus,Gary Staab,Fiberglass,DMNS Garage,2001 Colorado Blvd,,3156342.78643,1697938.82514,{A25F1531-D625-4E0C-B6B8-C421F5F8BECD}
2008.10.1,2008,Mustang,Luis Jimenez,Fiberglass and Steel,Pena Blvd and Pena Cir,,,3231346.53926,1729761.20792,{EDAA1CBB-A05A-4D76-85F9-5B4B8C2D8099}
2005.3.1,2005,Rehearsal,Stephen Batura,Acrylic Painting,Ellie Caulkins Opera House,,,3141378.68118,1696596.0741,{51295D42-D840-4B42-84BC-1C56C16C5EEC}
2006.10.1,2006,Maria Mosina and Igor Vassim,John DeAndrea ,"Bronze, Polychromed in Oil",Ellie Caulkins Opera House,,,3141405.52832,1696606.81266,{A92EB248-E9E9-4600-8B4D-772D43E43D79}
1994.3.1,1994,Flame of Compassion,Ross Barrable,Steel Wire,Communication Center,,,3152242.52389,1691673.91545,{742E1618-5CE8-4A97-82D5-710DD0BA3686}
1997.7.1,1997,Family Pillar,Lisa Kaslow,Painted Steel,Social Services Building,,,3133964.49238,1693003.91744,{3C821E61-7E23-42BE-8AEF-746371D1F24C}
1968.4.1,1968,Hungarian Freedom Monument,Zoltan and Steven Popovits,Bronze,Hungarian Park,,,3147439.91209,1687046.99739,{BEEB3FDA-C199-4E5D-8C5E-DDE71FAA5D2D}
1932.1.1,1932,Benedict Fountain,Maurice Bardin,Marble,Hungarian Park,,,3147164.87177,1687120.87156,{A5891577-9B2B-403D-98F8-10073EC4E168}
1976.1.1,1976,Steel Street Fountain,Gary Dwyer,Concrete ,Cherry Creek Park,,,3154667.07975,1685574.83301,{78C81638-5ABA-49CA-BFA6-2275264DC37A}
1976.3.1,1976,General Pulaski Monument,Zbigniew Maleszewski,Marble,Pulaski Park,,,3155607.98116,1684641.54308,{B68FA166-2FEC-4C95-8752-9E0464B13069}
1991.18.1,1991,Juntos/Together,Tony Ortega,Tile Mosiac,Lakewood Dry Gulch Park,,,3127902.24329,1692252.0306,{861DACD0-1AFF-4026-81DE-0F4D49856E43}
1992.4.1,1992,Dominion,Evelyn Rosenberg,Steel,National Western Stock Show Complex,Exterior,,3148858.69375,1709759.15735,{E8D3EEFA-1389-49C9-829E-0D21C257CE6A}
1993.12.1,1993,Family and Community Fun,Nick Vigil,Mural,St. Charles Recreation Center,,,3148640.95157,1705632.29371,{AC0860FA-F5A7-4AA1-AB12-4918CFF2BF87}
1995.7.1,1995,Argento Piattino con Pesce,Andy Libertone,Metal/Stone,6th Speer and Lincoln,,,3144560.75007,1689507.47969,{737324A0-0F3A-4645-AE70-85209F5AAECA}
1996.1.1,1996,Bridge of Recycling Fountains,Laura Audrey,Water/Steel,2000 West Third Avenue,,,3138111.16704,1687854.99275,{5889251C-D590-425C-BCB5-5378D36363C7}
1996.2.1,1996,Mountain Streams,Steven Jensen,Wood,Davis Pavilion,,,3143274.09383,1690520.99038,{9364FA72-4D66-4690-B8D6-34DB58D0CEF3}
