ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1994.29.1,1994,Continuum,Clay Wright,Acrylic,20th St. Recreation Center,,,3143343.11107,1698946.30293,{C85A9A2A-ED63-4481-A523-6F06404D537C}
1994.5.1,1994,Pursuing Perspectives,Susan Cooper,Oil on Sculpted Wood,Virginia Village Library,,,3160112.60639,1676323.88408,{50A629E9-E3FC-4EAA-B2FF-C7575FFC7BDC}
1991.7.1,1991,Taking The Heat,Joseph A Cipri,Bronze,Firestation 1,,,3141394.359,1694924.16082,{F6360C5D-D03B-48D0-BD6F-63CC434205A7}
1930.1.1,1930,Grizzlys Last Stand,Louis Paul Jones,Bronze ,City Park,NW corner of DMNS Exterior,,3156364.74943,1697822.96627,{2438F53C-805A-423A-AA88-03A7FEAF89A3}
2006.9.1,2006,Field Report,Robin Ault,Acrylic and gouche,Colorado Convention Center Hotel Hyatt,Outside of main ballroom,,3142294.83011,1696113.60564,{93C89DE4-96F5-414F-8D29-3A9C216EFEB5}
2006.23.1,2006,Untitled,Erik Paddock,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142366.16541,1696096.48409,{CB6D2854-9433-46E9-A49E-F27A25B60683}
2003.23.1,2003,The Lowry Trios,Steven Batura,Painting,Schlessman Family Library,,,3167589.53597,1687202.09092,{560DFC38-FA7C-49EC-9C3D-CA0C547F3B91}
2006.31.1,2006,Hope Trellis,Emmett  Culligan,Sandstone and Steel,Eddie Maestes Park,"Intersection of Broadway, Lawrence and Park Ave West",,3144024.70453,1700327.37834,{1D9FADFA-045E-45CD-875A-96A093509877}
2010.14.1,2010,Pathways,Juarez Mike,Tile Mosaic,Westwood Childcare Facility,,,3131129.72737,1679728.10654,{7B0754AA-6CC8-47B4-8D09-BBC249780AF8}
2011.3.1,2011,Cloud Seeding,Erik  Carlson,"Video, film and text and computer interface",Green Valley Ranch Library,,,3206076.97971,1711598.92536,{2E8CAC53-04AA-4BCD-A07C-5185A1585EA1}
1924.2.1,1924,Faculty Row and Animal Spirits,Robert Garrison,Frieze,South High School ,,,3150074.66577,1677420.95318,{437A89CB-7B16-4DF0-8366-5E78F501BA97}
1983.2.1,1983,Reflections,Frank Swanson,Stone,Denver Botanic Gardens ,,,3151741.76527,1692107.73939,{6B044F14-0D9E-4A32-8590-E121E8F2A4A8}
1989.6.1,1984,Flight of the Eagle Dancer,Jerry Jaramillo,Mural,Aztlan Rec Center ,,,3139318.56472,1708406.0902,{FA6BCD70-FC6A-4911-945A-9ED2FD8F8B3E}
2011.7.7,2011,The Flying Horse Carries Me Across the Sky,Steven Altman,"Acrylic, graphite and paint skins on panel",Eastside Human Services ,,,3154493.28568,1705879.82659,{D6917DE8-42BF-48EA-BB56-38AE7EE1E11D}
2011.7.6,2011,Colorado Prints,Jess E. DuBois,12 fine art prints,Eastside Human Services ,,,3154493.28568,1705879.82659,{6E404BCD-E7E5-4BEC-84E8-9E8E6B678321}
2011.7.4.1,2011,Dream Big  Denver,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{B213E2B3-7462-4939-870E-FF3B33660719}
2011.7.4.2,2011,Cubist Roots No Bull,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{D6C1F5D4-3C9B-40AC-A125-2A15BB169B87}
2011.7.4.3,2011,Ya Need Culture Dog,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{14065CE0-F0D8-4A68-A000-A15BED7669CB}
2011.7.4.4,2011,Sweet After Bitter,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{603DE545-FB48-41AD-80E9-B8A95686362E}
2011.7.5,2011,Imagination is Key,Guerilla Garden,mural -spray paint and enamel on concrete,Eastside Human Services ,,,3154493.28568,1705879.82659,{4D6065B2-8D60-4A91-91CC-ABB350486ABB}
2011.7.3,2011,Things that make you smile I-IV,Vincent Juarez,tile mosaic,Eastside Human Services ,,,3154493.28568,1705879.82659,{DA3FB297-F5D2-457E-B40A-1F38BFF3DCA2}
2011.7.1,2011,Peace Bird,Ray King,dichroic glass,Eastside Human Services ,,,3154493.28568,1705879.82659,{E393776F-9EED-4F2B-86CE-08FFF1373D79}
2011.7.2,2011,Up Up and Away,Carol Ann Waugh,Fabric on Panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{C4C23F75-1B1E-4F7E-87F0-394F3FDC3787}
2011.8.1,2011,Two Views from Above,Ken Bernstein,Photorealism Murals,Roslyn Administration Building ,,,3168522.5262,1715313.94137,{89F0DF5E-9920-4389-9B51-D8992C585F17}
2011.5.1,2011,Lake Totem,Andrew Dufford,Stone,Sloan's Lake Park Marina ,,,3125976.24046,1696828.09784,{0489E669-EE2C-4522-8357-C150E7C73788}
2011.9.1,2011,Sunlight,Adam Frank,Video Projection,Minoru Yasui Building ,,,3142954.80553,1694999.34574,{130293C1-C6E0-4853-93BE-55FB7D1EE422}
2011.4.3,2011,Sun Spot,Laura Haddad and Tom Drugan,"Three components: Steel and Stainless pet tags, aluminum",Denver Municipal Animal Shelter ,,,3139888.0303,1685761.16662,{FD025360-4228-43AC-8CED-9EEA590886B2}
2011.6.1,2011,Twilight Twist,Erick Johnson,stainless steel,Ruby Hill Park ,,,3139339.42586,1674745.23517,{2C994A09-1DC6-4AF9-81EB-8CFA460EC884}
2011.10.1,2011,Virga,Patrick Marold,stainless steel,Delgany Pedestrian Bridge...  roughly,,,3139112.28337,1698970.76602,{4BB326CC-2AE4-45E1-AEE7-961AF69A5EF3}
2011.11.1,2011,Connections,Robert Pietruzcewski,titanium and steel,Skyline Park ,,,3141467.96871,1697464.59942,{B3E5492F-A600-405C-9AC6-A4D30E582DEE}
2011.12.1,2011,Rex Morgan Tribute Sculpture,Patrick Marold,stone,DPAC Galleria,,,3140774.45353,1696261.10425,{5501200E-885D-418F-A4FB-A26B7E0CD1F0}
2012.1.1,2012,Untitled,Bob Zoell,Ceramic tiles,Police: Traffic Operations-,,,3141650.60001,1703859.79578,{83A7B158-DEE5-4723-B871-5078FDB14283}
2012.2.4,2012,Face the Sun,Kevin Curry,Lexan sheeting, ,,,3128144.01112,1706722.77983,{799499D0-A408-4B98-BFC5-8E9A69BBA787}
2006.1.1,2006,ENGI,Tatsuo Miyajima,Digital Installation,Denver Art Museum,Atriumof the Hamilton Building,,3143653.95017,1693514.76548,{6CBB93A2-217A-4FA4-A3B4-CE1107234629}
2006.7.1,2006,Untitled  Glazed Abstract paintings ,Steve Altman,Acrylic Painting,Colorado Convention Center Hotel Hyatt,,,3142217.78587,1696047.97532,{2EAD1551-3BD8-4076-8CED-733E9DBED80C}
2006.8.1,2006,Outside,Joseph Kosuth,Stainless Steel and stone,Colorado Convention Center Hotel Hyatt,Circling exterior of hotel,,3142252.02764,1696076.51072,{7A33E0A6-E57E-4EA4-9A84-450B3E3D22D3}
2006.14.1,2006,Untitled,Gary Huibgrtse,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142331.92496,1696139.28656,{F32DFD34-43FC-48AA-97B7-38D277E0C55E}
